Time,Driver,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,LapStartTime,LapStartDate,Position,Deleted
0 days 01:12:01.103000,ALB,0 days 00:01:17.427000,11.0,1.0,,,0 days 00:00:26.358000,0 days 00:00:28.140000,0 days 00:00:22.929000,0 days 01:11:10.003000,0 days 01:11:38.143000,0 days 01:12:01.072000,279.0,272.0,319.0,302.0,False,MEDIUM,11.0,True,0 days 01:10:43.676000,2024-08-25 13:16:20.314,17.0,False
0 days 01:13:21.944000,ALB,0 days 00:01:20.841000,12.0,1.0,,0 days 01:13:20.361000,0 days 00:00:26.409000,0 days 00:00:28.337000,0 days 00:00:26.095000,0 days 01:12:27.481000,0 days 01:12:55.818000,0 days 01:13:21.913000,276.0,273.0,,314.0,False,MEDIUM,12.0,True,0 days 01:12:01.103000,2024-08-25 13:17:37.741,18.0,False
0 days 01:14:57.328000,ALB,0 days 00:01:35.384000,13.0,2.0,0 days 01:13:41.643000,,0 days 00:00:45.491000,0 days 00:00:26.912000,0 days 00:00:22.981000,0 days 01:14:07.404000,0 days 01:14:34.316000,0 days 01:14:57.297000,271.0,257.0,293.0,,False,HARD,1.0,True,0 days 01:13:21.944000,2024-08-25 13:18:58.582,20.0,False
0 days 01:16:13.595000,ALB,0 days 00:01:16.267000,14.0,2.0,,,0 days 00:00:26.058000,0 days 00:00:27.268000,0 days 00:00:22.941000,0 days 01:15:23.355000,0 days 01:15:50.623000,0 days 01:16:13.564000,272.0,255.0,292.0,303.0,True,HARD,2.0,True,0 days 01:14:57.328000,2024-08-25 13:20:33.966,20.0,False
0 days 01:17:29.115000,ALB,0 days 00:01:15.520000,15.0,2.0,,,0 days 00:00:25.764000,0 days 00:00:27.197000,0 days 00:00:22.559000,0 days 01:16:39.328000,0 days 01:17:06.525000,0 days 01:17:29.084000,281.0,272.0,314.0,294.0,True,HARD,3.0,True,0 days 01:16:13.595000,2024-08-25 13:21:50.233,20.0,False
0 days 01:18:45.122000,ALB,0 days 00:01:16.007000,16.0,2.0,,,0 days 00:00:25.733000,0 days 00:00:27.380000,0 days 00:00:22.894000,0 days 01:17:54.817000,0 days 01:18:22.197000,0 days 01:18:45.091000,283.0,270.0,298.0,320.0,False,HARD,4.0,True,0 days 01:17:29.115000,2024-08-25 13:23:05.753,19.0,False
0 days 01:20:01.744000,ALB,0 days 00:01:16.622000,17.0,2.0,,,0 days 00:00:26.017000,0 days 00:00:27.614000,0 days 00:00:22.991000,0 days 01:19:11.108000,0 days 01:19:38.722000,0 days 01:20:01.713000,,260.0,298.0,302.0,False,HARD,5.0,True,0 days 01:18:45.122000,2024-08-25 13:24:21.760,19.0,False
0 days 01:21:18.345000,ALB,0 days 00:01:16.601000,18.0,2.0,,,0 days 00:00:26.044000,0 days 00:00:27.700000,0 days 00:00:22.857000,0 days 01:20:27.757000,0 days 01:20:55.457000,0 days 01:21:18.314000,279.0,259.0,299.0,301.0,False,HARD,6.0,True,0 days 01:20:01.744000,2024-08-25 13:25:38.382,18.0,False
0 days 01:22:35.878000,ALB,0 days 00:01:17.533000,19.0,2.0,,,0 days 00:00:26.204000,0 days 00:00:27.980000,0 days 00:00:23.349000,0 days 01:21:44.518000,0 days 01:22:12.498000,0 days 01:22:35.847000,269.0,253.0,291.0,300.0,False,HARD,7.0,True,0 days 01:21:18.345000,2024-08-25 13:26:54.983,18.0,False
0 days 01:23:54.517000,ALB,0 days 00:01:18.639000,20.0,2.0,,,0 days 00:00:27.336000,0 days 00:00:28.229000,0 days 00:00:23.074000,0 days 01:23:03.183000,0 days 01:23:31.412000,0 days 01:23:54.486000,,258.0,297.0,288.0,False,HARD,8.0,True,0 days 01:22:35.878000,2024-08-25 13:28:12.516,18.0,False
0 days 01:25:10.918000,ALB,0 days 00:01:16.401000,21.0,2.0,,,0 days 00:00:25.887000,0 days 00:00:27.568000,0 days 00:00:22.946000,0 days 01:24:20.373000,0 days 01:24:47.941000,0 days 01:25:10.887000,284.0,260.0,297.0,300.0,False,HARD,9.0,True,0 days 01:23:54.517000,2024-08-25 13:29:31.155,18.0,False
0 days 01:26:27.102000,ALB,0 days 00:01:16.184000,22.0,2.0,,,0 days 00:00:25.808000,0 days 00:00:27.528000,0 days 00:00:22.848000,0 days 01:25:36.695000,0 days 01:26:04.223000,0 days 01:26:27.071000,283.0,261.0,297.0,,False,HARD,10.0,True,0 days 01:25:10.918000,2024-08-25 13:30:47.556,18.0,False
0 days 01:27:43.278000,ALB,0 days 00:01:16.176000,23.0,2.0,,,0 days 00:00:25.807000,0 days 00:00:27.486000,0 days 00:00:22.883000,0 days 01:26:52.878000,0 days 01:27:20.364000,0 days 01:27:43.247000,282.0,260.0,298.0,,False,HARD,11.0,True,0 days 01:26:27.102000,2024-08-25 13:32:03.740,17.0,False
0 days 01:28:59.595000,ALB,0 days 00:01:16.317000,24.0,2.0,,,0 days 00:00:25.804000,0 days 00:00:27.643000,0 days 00:00:22.870000,0 days 01:28:09.051000,0 days 01:28:36.694000,0 days 01:28:59.564000,,260.0,297.0,302.0,False,HARD,12.0,True,0 days 01:27:43.278000,2024-08-25 13:33:19.916,17.0,False
0 days 01:30:16.085000,ALB,0 days 00:01:16.490000,25.0,2.0,,,0 days 00:00:25.896000,0 days 00:00:27.776000,0 days 00:00:22.818000,0 days 01:29:25.460000,0 days 01:29:53.236000,0 days 01:30:16.054000,283.0,261.0,298.0,303.0,False,HARD,13.0,True,0 days 01:28:59.595000,2024-08-25 13:34:36.233,17.0,False
0 days 01:31:32.442000,ALB,0 days 00:01:16.357000,26.0,2.0,,,0 days 00:00:25.877000,0 days 00:00:27.744000,0 days 00:00:22.736000,0 days 01:30:41.931000,0 days 01:31:09.675000,0 days 01:31:32.411000,286.0,261.0,299.0,304.0,False,HARD,14.0,True,0 days 01:30:16.085000,2024-08-25 13:35:52.723,17.0,False
0 days 01:32:48.958000,ALB,0 days 00:01:16.516000,27.0,2.0,,,0 days 00:00:25.904000,0 days 00:00:27.746000,0 days 00:00:22.866000,0 days 01:31:58.315000,0 days 01:32:26.061000,0 days 01:32:48.927000,285.0,263.0,298.0,307.0,False,HARD,15.0,True,0 days 01:31:32.442000,2024-08-25 13:37:09.080,17.0,False
0 days 01:34:05.600000,ALB,0 days 00:01:16.642000,28.0,2.0,,,0 days 00:00:25.985000,0 days 00:00:27.889000,0 days 00:00:22.768000,0 days 01:33:14.912000,0 days 01:33:42.801000,0 days 01:34:05.569000,283.0,272.0,318.0,303.0,False,HARD,16.0,True,0 days 01:32:48.958000,2024-08-25 13:38:25.596,17.0,False
0 days 01:35:22.928000,ALB,0 days 00:01:17.328000,29.0,2.0,,,0 days 00:00:26.292000,0 days 00:00:28.162000,0 days 00:00:22.874000,0 days 01:34:31.861000,0 days 01:35:00.023000,0 days 01:35:22.897000,,270.0,316.0,315.0,False,HARD,17.0,True,0 days 01:34:05.600000,2024-08-25 13:39:42.238,17.0,False
0 days 01:36:40.097000,ALB,0 days 00:01:17.169000,30.0,2.0,,,0 days 00:00:25.954000,0 days 00:00:28.255000,0 days 00:00:22.960000,0 days 01:35:48.851000,0 days 01:36:17.106000,0 days 01:36:40.066000,285.0,272.0,317.0,,False,HARD,18.0,True,0 days 01:35:22.928000,2024-08-25 13:40:59.566,15.0,False
0 days 01:37:56.887000,ALB,0 days 00:01:16.790000,31.0,2.0,,,0 days 00:00:26.075000,0 days 00:00:27.959000,0 days 00:00:22.756000,0 days 01:37:06.141000,0 days 01:37:34.100000,0 days 01:37:56.856000,284.0,271.0,317.0,317.0,False,HARD,19.0,True,0 days 01:36:40.097000,2024-08-25 13:42:16.735,14.0,False
0 days 01:39:13.688000,ALB,0 days 00:01:16.801000,32.0,2.0,,,0 days 00:00:26.179000,0 days 00:00:27.792000,0 days 00:00:22.830000,0 days 01:38:23.035000,0 days 01:38:50.827000,0 days 01:39:13.657000,281.0,272.0,312.0,305.0,False,HARD,20.0,True,0 days 01:37:56.887000,2024-08-25 13:43:33.525,12.0,False
0 days 01:40:30.074000,ALB,0 days 00:01:16.386000,33.0,2.0,,,0 days 00:00:25.714000,0 days 00:00:27.807000,0 days 00:00:22.865000,0 days 01:39:39.371000,0 days 01:40:07.178000,0 days 01:40:30.043000,,258.0,298.0,323.0,False,HARD,21.0,True,0 days 01:39:13.688000,2024-08-25 13:44:50.326,11.0,False
0 days 01:41:46.338000,ALB,0 days 00:01:16.264000,34.0,2.0,,,0 days 00:00:25.759000,0 days 00:00:27.693000,0 days 00:00:22.812000,0 days 01:40:55.802000,0 days 01:41:23.495000,0 days 01:41:46.307000,282.0,260.0,296.0,302.0,False,HARD,22.0,True,0 days 01:40:30.074000,2024-08-25 13:46:06.712,11.0,False
0 days 01:43:02.598000,ALB,0 days 00:01:16.260000,35.0,2.0,,,0 days 00:00:25.812000,0 days 00:00:27.643000,0 days 00:00:22.805000,0 days 01:42:12.119000,0 days 01:42:39.762000,0 days 01:43:02.567000,,260.0,298.0,,False,HARD,23.0,True,0 days 01:41:46.338000,2024-08-25 13:47:22.976,11.0,False
