Driver,Stint,Compound,TyreLife,LapNumber,PitInTime,PitOutTime,Round,Session
RUS,3.0,SOFT,2.0,8.0,,,4,Q
RUS,3.0,SOFT,3.0,9.0,0 days 00:54:02.838000,,4,Q
RUS,4.0,SOFT,1.0,10.0,,0 days 01:00:17.869000,4,Q
RUS,4.0,SOFT,2.0,11.0,,,4,Q
RUS,4.0,SOFT,3.0,12.0,0 days 01:05:37.947000,,4,Q
RUS,5.0,SOFT,1.0,13.0,,0 days 01:09:38.546000,4,Q
RUS,5.0,SOFT,2.0,14.0,,,4,Q
RUS,5.0,SOFT,3.0,15.0,0 days 01:15:16.244000,,4,Q
TSU,1.0,SOFT,1.0,1.0,,0 days 00:18:15.179000,4,Q
TSU,1.0,SOFT,2.0,2.0,,,4,Q
TSU,1.0,SOFT,3.0,3.0,0 days 00:23:27.660000,,4,Q
TSU,2.0,SOFT,1.0,4.0,,0 days 00:27:16.715000,4,Q
TSU,2.0,SOFT,2.0,5.0,,,4,Q
TSU,2.0,SOFT,3.0,6.0,0 days 00:32:52.951000,,4,Q
TSU,3.0,SOFT,4.0,7.0,,0 days 00:39:28.367000,4,Q
TSU,3.0,SOFT,5.0,8.0,,,4,Q
TSU,3.0,SOFT,6.0,9.0,0 days 00:44:56.539000,,4,Q
TSU,4.0,SOFT,1.0,10.0,,0 days 00:49:09.023000,4,Q
TSU,4.0,SOFT,2.0,11.0,,,4,Q
TSU,4.0,SOFT,3.0,12.0,0 days 00:54:35.522000,,4,Q
TSU,5.0,SOFT,4.0,13.0,,0 days 01:01:24.927000,4,Q
TSU,5.0,SOFT,5.0,14.0,,,4,Q
TSU,5.0,SOFT,6.0,15.0,0 days 01:06:40.490000,,4,Q
TSU,6.0,SOFT,1.0,16.0,,0 days 01:08:32.198000,4,Q
TSU,6.0,SOFT,2.0,17.0,,,4,Q
TSU,6.0,SOFT,3.0,18.0,0 days 01:14:12.951000,,4,Q
RIC,1.0,SOFT,1.0,1.0,,0 days 00:17:29.576000,4,Q
RIC,1.0,SOFT,2.0,2.0,,,4,Q
RIC,1.0,SOFT,3.0,3.0,0 days 00:23:12.262000,,4,Q
RIC,2.0,SOFT,1.0,4.0,,0 days 00:27:04.770000,4,Q
RIC,2.0,SOFT,2.0,5.0,,,4,Q
RIC,2.0,SOFT,3.0,6.0,0 days 00:32:49.520000,,4,Q
RIC,3.0,SOFT,4.0,7.0,,0 days 00:39:50.577000,4,Q
RIC,3.0,SOFT,5.0,8.0,,,4,Q
RIC,3.0,SOFT,6.0,9.0,0 days 00:45:29.822000,,4,Q
RIC,4.0,SOFT,1.0,10.0,,0 days 00:48:48.283000,4,Q
RIC,4.0,SOFT,2.0,11.0,,,4,Q
RIC,4.0,SOFT,3.0,12.0,0 days 00:54:16.617000,,4,Q
HUL,1.0,SOFT,1.0,1.0,,0 days 00:18:07.440000,4,Q
HUL,1.0,SOFT,2.0,2.0,,,4,Q
HUL,1.0,SOFT,3.0,3.0,0 days 00:23:21.530000,,4,Q
HUL,2.0,SOFT,1.0,4.0,,0 days 00:26:47.580000,4,Q
HUL,2.0,SOFT,2.0,5.0,,,4,Q
HUL,2.0,SOFT,3.0,6.0,0 days 00:32:15.608000,,4,Q
HUL,3.0,SOFT,4.0,7.0,,0 days 00:38:49.341000,4,Q
HUL,3.0,SOFT,5.0,8.0,,,4,Q
HUL,3.0,SOFT,6.0,9.0,0 days 00:43:52.546000,,4,Q
HUL,4.0,SOFT,1.0,10.0,,0 days 00:48:33.660000,4,Q
HUL,4.0,SOFT,2.0,11.0,,,4,Q
HUL,4.0,SOFT,3.0,12.0,0 days 00:53:57.473000,,4,Q
BOT,1.0,SOFT,1.0,1.0,,0 days 00:18:21.558000,4,Q
BOT,1.0,SOFT,2.0,2.0,,,4,Q
BOT,1.0,SOFT,3.0,3.0,0 days 00:23:51.284000,,4,Q
BOT,2.0,SOFT,1.0,4.0,,0 days 00:27:24.933000,4,Q
BOT,2.0,SOFT,2.0,5.0,,,4,Q
BOT,2.0,SOFT,3.0,6.0,0 days 00:33:02.620000,,4,Q
BOT,3.0,SOFT,4.0,7.0,,0 days 00:40:29.034000,4,Q
BOT,3.0,SOFT,5.0,8.0,,,4,Q
BOT,3.0,SOFT,6.0,9.0,0 days 00:45:57.834000,,4,Q
BOT,4.0,SOFT,1.0,10.0,,0 days 00:49:20.816000,4,Q
BOT,4.0,SOFT,2.0,11.0,,,4,Q
BOT,4.0,SOFT,3.0,12.0,0 days 00:54:46.801000,,4,Q
ALB,1.0,SOFT,1.0,1.0,,0 days 00:16:00.896000,4,Q
ALB,1.0,SOFT,2.0,2.0,,,4,Q
ALB,1.0,SOFT,3.0,3.0,0 days 00:21:42.597000,,4,Q
ALB,2.0,SOFT,1.0,4.0,,0 days 00:23:38.183000,4,Q
ALB,2.0,SOFT,2.0,5.0,,,4,Q
ALB,2.0,SOFT,3.0,6.0,0 days 00:29:08.635000,,4,Q
ALB,3.0,SOFT,1.0,7.0,,0 days 00:48:58.728000,4,Q
ALB,3.0,SOFT,2.0,8.0,,,4,Q
ALB,3.0,SOFT,3.0,9.0,0 days 00:54:27.413000,,4,Q
OCO,1.0,SOFT,1.0,1.0,,0 days 00:17:25.238000,4,Q
OCO,1.0,SOFT,2.0,2.0,,,4,Q
OCO,1.0,SOFT,3.0,3.0,0 days 00:23:05.705000,,4,Q
OCO,2.0,SOFT,1.0,4.0,,0 days 00:27:00.416000,4,Q
OCO,2.0,SOFT,2.0,5.0,,,4,Q
